curve_id,rank,conductor,torsion_order,regulator,period,ls_deriv,sha_estimate
E_5046,2,460466,2,42.2814,1.8564,0.088131,0.00096737
E_5047,2,430763,6,30.2354,0.2332,1.137115,0.00024362
E_5048,2,121584,4,36.4985,4.2339,1.775251,0.01287079
E_5049,2,653351,6,10.0781,6.6901,0.65327,0.01204604
E_5050,2,170268,1,48.2526,5.1153,0.503066,0.05333046
E_5051,4,750506,1,20.7999,8.9156,1.4989,0.64248351
E_5052,3,480350,2,33.0281,4.3964,1.208162,0.04020488
E_5053,3,558168,6,1.9247,3.1789,1.134404,0.05204501
E_5054,3,270635,1,7.2386,9.1689,0.307109,0.38900502
E_5055,2,270824,1,39.3197,4.1273,0.360163,0.0378055
E_5056,3,495783,6,48.4305,2.7695,0.570758,0.00090663
E_5057,2,509337,4,16.6827,1.0668,0.421609,0.00168503
E_5058,2,700699,6,2.8219,7.9538,1.943175,0.15213967
E_5059,2,209876,6,18.6825,8.2684,0.047036,0.00057825
E_5060,2,298153,4,1.8559,0.4296,1.255852,0.01816888
E_5061,2,784500,2,10.4263,3.6506,1.040022,0.09103671
E_5062,2,764687,2,37.8711,7.5238,0.65327,0.03244607
E_5063,3,123331,2,46.9173,9.4692,1.776302,0.08962664
E_5064,2,123004,4,5.285,3.8404,1.343624,0.06102239
E_5065,2,338441,1,28.3371,8.7333,1.996725,0.61537696
E_5066,2,503708,4,13.4402,3.9978,0.345625,0.0064254
E_5067,2,548013,6,7.8139,1.877,0.184857,0.00123347
E_5068,3,289167,4,11.73,0.1341,0.287401,0.00020535
E_5069,2,713332,1,29.3104,3.3688,0.545889,0.06274192
E_5070,4,382260,1,4.1916,3.8469,0.839406,0.77037669
E_5071,3,642955,6,22.2767,9.4567,1.726581,0.02035979
E_5072,2,437201,2,7.6262,2.1401,0.574348,0.04029406
E_5073,2,698493,1,14.3612,3.8841,1.831334,0.49529875
E_5074,3,127302,1,10.347,0.349,0.931186,0.03140852
E_5075,3,504499,1,44.2658,7.659,1.297669,0.22452654
E_5076,3,262007,6,35.6926,9.1599,0.536171,0.0038222
E_5077,3,696822,1,43.5547,2.4544,0.320467,0.018059
E_5078,2,262696,2,19.7897,4.3471,1.740219,0.0955662
E_5079,2,113440,6,16.3573,1.3089,0.227917,0.0005066
E_5080,2,473145,2,19.6488,4.6227,1.550302,0.09118344
E_5081,3,408645,1,1.9089,1.4201,1.166159,0.86754801
E_5082,2,494485,1,36.5105,5.2812,1.723664,0.24932593
E_5083,2,785611,2,18.1389,7.3728,1.438459,0.14617025
E_5084,2,440053,6,16.3529,5.5781,0.570512,0.00540572
E_5085,2,708811,6,30.3089,2.5277,1.153111,0.00267131
E_5086,2,794089,2,22.3762,3.6026,0.036017,0.0014497
E_5087,3,640022,1,49.0613,6.4219,0.955685,0.1250948
E_5088,2,797789,4,18.4564,5.9386,0.181167,0.00364331
E_5089,3,272409,2,31.0809,1.4541,0.863601,0.01010075
E_5090,2,533541,2,16.2709,8.465,0.228127,0.02967099
E_5091,2,445744,2,49.5392,4.8044,1.911405,0.04634287
E_5092,3,607173,1,22.8104,1.7075,1.050905,0.07866676
E_5093,3,764471,6,32.0723,1.316,1.827304,0.00208274
E_5094,2,728274,1,7.2094,9.659,0.054509,0.07302999
E_5095,3,738071,2,36.9182,2.8872,1.27893,0.02500479
E_5096,2,311655,1,14.1913,9.0951,0.620839,0.39789116
E_5097,2,566836,1,22.982,4.1648,0.86934,0.15754187
E_5098,2,771813,2,44.2735,3.9206,1.747444,0.03868583
E_5099,2,532184,1,48.5571,7.0392,1.960242,0.28417133
E_5100,2,261149,4,21.804,0.1978,0.500519,0.00028379
E_5101,2,339654,1,41.9053,3.4471,1.897024,0.15604784
E_5102,2,527991,1,3.6141,3.0962,1.380567,1.18273195
E_5103,2,289216,6,42.5311,8.6942,1.903314,0.01080764
E_5104,2,277169,6,31.846,5.3383,1.12911,0.00525753
E_5105,3,758139,2,24.9466,3.7092,1.921905,0.0714399
E_5106,2,231827,2,44.6082,2.7342,1.785986,0.02736741
E_5107,2,401407,6,42.4215,5.946,0.265898,0.00103526
E_5108,3,417231,4,15.5503,1.6016,0.628472,0.00404558
E_5109,2,675770,1,39.7829,2.5374,0.493696,0.03148851
E_5110,2,222989,4,5.8751,3.0068,1.148478,0.03673601
E_5111,2,510616,4,41.3154,6.1183,1.607571,0.01487884
E_5112,2,376393,6,34.0973,3.7952,1.521229,0.00470334
E_5113,3,734649,2,5.3055,5.1073,1.456231,0.35045748
E_5114,3,399850,1,34.4709,6.5393,0.756777,0.14356434
E_5115,2,461185,2,29.4454,9.5671,0.287877,0.02338352
E_5116,3,141139,4,30.133,7.6719,0.429061,0.00682747
E_5117,3,739207,4,15.2523,4.112,1.485938,0.02503793
E_5118,2,403446,2,14.0584,7.5079,0.303593,0.04053352
E_5119,3,325756,2,38.3642,9.502,0.453664,0.02809074
E_5120,2,449982,6,13.5839,5.0439,0.85486,0.00881728
E_5121,3,764006,2,22.8669,4.1639,0.153504,0.006988
E_5122,3,768903,2,35.0447,0.8724,0.433257,0.00269637
E_5123,2,778145,6,4.9012,8.9345,0.308039,0.01559808
E_5124,2,451136,2,30.1329,2.5397,1.90313,0.04010052
E_5125,2,648065,4,29.8794,0.7332,0.391137,0.00059987
E_5126,2,157939,2,34.5272,5.4183,1.724922,0.06767233
E_5127,3,546242,1,19.1265,8.4744,0.238448,0.10564943
E_5128,3,123548,4,23.0,4.1257,1.74065,0.01951467
E_5129,2,556437,6,17.1685,7.8524,1.202873,0.01528225
E_5130,2,749837,4,40.6002,8.3803,1.700915,0.0219429
E_5131,2,533917,6,7.3999,4.5986,1.736024,0.02996767
E_5132,2,544503,1,48.1847,5.9505,1.196783,0.14779499
E_5133,2,237799,1,32.107,5.3857,1.836211,0.30801014
E_5134,2,281789,4,44.4584,9.398,1.175042,0.01552441
E_5135,3,525643,2,21.8853,7.2825,1.428005,0.11879488
E_5136,2,772052,4,17.2817,9.2609,0.838,0.02806666
E_5137,2,655913,4,45.1356,2.2781,1.828995,0.00576961
E_5138,3,534352,1,5.8448,3.1713,1.650083,0.89531006
E_5139,2,739169,6,6.7383,0.802,0.341759,0.0011299
E_5140,4,545625,4,15.668,5.0491,1.157012,0.02330335
E_5141,4,447299,2,48.029,8.7518,1.794686,0.08175651
E_5142,2,211776,1,32.0204,3.3358,1.588198,0.16545424
E_5143,2,613624,4,28.1555,1.37,1.92548,0.00585567
E_5144,2,312803,4,35.5625,0.7776,0.47029,0.0006427
E_5145,2,258761,2,21.4563,4.5303,0.741245,0.03912676
E_5146,2,766514,4,38.1456,1.7238,1.019312,0.00287892
E_5147,2,597873,4,20.2683,3.5264,0.473012,0.00514359
E_5148,2,457092,4,41.4918,8.2178,0.79415,0.00983051
E_5149,2,121341,4,14.0975,3.9021,1.079703,0.01867844
E_5150,2,459698,2,14.5998,6.1377,0.390765,0.04106903
E_5151,3,305753,4,26.5968,5.0714,0.520809,0.00620665
E_5152,2,408474,4,22.1073,7.2135,0.258437,0.00527042
E_5153,2,449903,4,32.7577,1.646,1.429629,0.00448973
E_5154,2,448951,1,18.8502,9.2124,0.729488,0.35651268
E_5155,4,409044,2,12.297,6.472,0.44833,0.05898983
E_5156,2,178840,1,24.0206,2.7824,1.019575,0.11810136
E_5157,2,265767,1,28.4869,1.3202,0.145816,0.00675771
E_5158,3,261297,2,7.9874,1.5823,1.847579,0.09150112
E_5159,2,149156,1,28.2792,7.8484,0.59599,0.16540666
E_5160,3,308281,1,16.6436,5.9223,1.774064,0.63126603
E_5161,2,187453,1,20.2301,3.8695,1.000264,0.19132488
E_5162,2,783189,2,14.6866,3.3957,1.701799,0.09836856
E_5163,2,125938,4,46.6391,8.572,0.501658,0.00576262
E_5164,2,159164,6,34.4835,8.7601,0.358788,0.00253182
E_5165,2,547746,6,13.8606,5.8545,1.700329,0.01994979
E_5166,3,684570,2,32.6065,5.293,0.433719,0.01760136
E_5167,2,409945,6,42.58,8.1828,1.494929,0.00798021
E_5168,2,502681,2,20.6799,7.5184,0.695722,0.0632343
E_5169,2,365470,2,41.6679,4.0632,1.498906,0.03654105
E_5170,2,782954,6,8.5663,0.9191,1.816216,0.00541296
E_5171,2,215819,1,41.3163,7.7082,1.96346,0.36631408
E_5172,2,366907,4,27.4744,1.7701,0.726021,0.00292347
E_5173,2,581873,6,11.9257,0.2621,0.741376,0.0004526
E_5174,2,241900,6,20.9499,8.4487,1.962962,0.0219896
E_5175,2,409732,6,49.4117,5.8247,1.724441,0.00564663
E_5176,2,504427,6,39.3942,8.9275,0.099733,0.00062782
E_5177,2,637857,2,29.1792,4.8974,1.151165,0.04830252
E_5178,2,327966,2,6.643,9.2722,0.370677,0.12934635
E_5179,3,137860,4,21.4728,3.6043,1.988085,0.02085678
E_5180,2,302630,4,13.8895,7.2728,0.286457,0.00937464
E_5181,2,623225,6,4.4791,3.0798,1.123102,0.02145105
E_5182,2,768875,6,27.568,0.1115,1.333745,0.00014984
E_5183,3,695983,6,44.5701,3.8595,1.874759,0.00450952
E_5184,3,353078,4,34.1044,7.4039,1.696044,0.02301268
E_5185,2,468893,6,13.2343,1.5852,0.499052,0.00166045
E_5186,2,255976,1,29.1056,5.0975,1.149522,0.20132512
E_5187,3,105636,4,47.2185,2.202,1.907612,0.00556001
E_5188,2,361578,1,36.4228,0.8388,1.474077,0.0339473
E_5189,2,439273,6,34.7842,6.2128,1.379789,0.00684566
E_5190,2,383816,2,48.4398,9.5245,1.512253,0.07433688
E_5191,2,327693,1,40.1448,3.176,0.651787,0.05156522
E_5192,3,621393,4,7.6946,5.8484,1.461212,0.06941355
E_5193,3,100654,1,18.0341,9.5407,0.473381,0.2504359
E_5194,2,678921,4,48.2919,6.5398,0.861925,0.00729524
E_5195,2,117143,6,24.9956,6.7638,1.780958,0.01338685
E_5196,2,680222,1,6.4702,1.8714,0.047753,0.01381178
E_5197,3,429478,2,23.4716,4.9768,0.834494,0.04423548
E_5198,3,727751,1,35.1527,3.7341,0.540975,0.05746514
E_5199,3,225851,2,49.8799,4.7625,0.405193,0.00967189
E_5200,3,653375,4,16.8714,8.0282,1.678765,0.04992717
E_5201,2,766978,6,26.1903,4.6609,1.396032,0.00690116
E_5202,2,411011,6,44.1044,0.7222,0.234139,0.0001065
E_5203,2,544244,2,18.4081,9.0649,0.993982,0.12236933
E_5204,3,258272,4,6.3538,5.4937,0.939142,0.05075078
E_5205,2,326179,6,47.4979,9.2525,0.29363,0.00158885
E_5206,2,602716,4,24.9336,5.7663,1.601528,0.02314871
E_5207,2,317508,2,25.6364,0.7894,0.739681,0.00569409
E_5208,2,742710,2,31.4388,5.5734,1.526256,0.06764281
E_5209,2,450036,1,1.1733,5.7998,0.392205,1.93872885
E_5210,2,319631,6,46.6254,2.222,0.636996,0.00084325
E_5211,2,482188,6,18.7111,4.7632,0.19939,0.00140994
E_5212,2,139148,1,20.4497,4.6485,0.295524,0.0671767
E_5213,2,251770,2,9.5314,6.2665,1.767535,0.29052023
E_5214,2,535686,2,19.5294,2.6702,0.227134,0.00776385
E_5215,3,585287,2,40.3932,5.8593,0.200505,0.00727114
E_5216,2,395901,2,40.1996,2.4854,1.881351,0.02907933
E_5217,2,178012,4,46.854,4.5198,1.295348,0.00780978
E_5218,3,156116,6,20.7582,1.3148,0.210823,0.00037092
E_5219,2,244233,6,35.7274,0.4693,1.943716,0.00070922
E_5220,3,132152,2,25.8546,3.2738,0.302729,0.00958315
E_5221,2,206379,2,40.3971,2.8183,1.535028,0.02677277
E_5222,2,326905,2,35.9146,4.1287,0.079354,0.00228061
E_5223,2,120836,6,19.0272,9.6236,1.252838,0.01760172
E_5224,2,321439,6,17.497,5.2701,1.097941,0.00918611
E_5225,2,286720,2,13.3697,5.5764,0.423928,0.04420428
E_5226,2,257403,4,29.2493,9.4219,1.289861,0.02596844
E_5227,4,241835,1,48.2283,9.2194,1.237935,0.23664566
E_5228,2,717397,1,10.8033,8.8527,1.59872,1.31006161
E_5229,3,250259,1,5.6674,1.0701,1.752989,0.33099367
E_5230,2,243029,6,6.8506,6.3795,1.025109,0.02651707
E_5231,3,497595,6,39.3718,8.1002,0.985687,0.00563309
E_5232,2,706306,1,18.1551,8.3722,1.246976,0.57504131
E_5233,2,747364,1,11.994,5.8213,1.461123,0.70915752
E_5234,2,782465,4,18.2894,0.2732,0.718781,0.00067105
E_5235,2,494093,6,32.6212,9.7398,1.014237,0.00841176
E_5236,3,445452,6,27.7926,4.7747,1.174357,0.00560421
E_5237,2,544783,1,37.4359,3.9966,1.976872,0.21104786
E_5238,2,420057,4,17.6146,4.01,1.179547,0.01678289
E_5239,2,626925,4,23.1494,4.2991,0.456131,0.00529429
E_5240,2,565994,1,5.9965,2.4976,1.1801,0.49152302
E_5241,3,461652,1,4.5799,3.3406,1.640804,1.19680994
E_5242,4,706752,6,23.6505,9.855,1.716233,0.01986507
E_5243,3,390886,1,15.7782,3.7449,1.602498,0.38034724
E_5244,2,636119,2,31.0272,5.3146,1.777537,0.07611788
E_5245,2,213768,4,3.1071,8.4981,0.676185,0.11558784
E_5246,3,447236,1,6.9666,5.3215,1.020066,0.77918658
E_5247,2,729112,2,43.3943,3.3121,1.561386,0.02979347
E_5248,4,188741,4,28.7493,5.2851,0.536255,0.00616137
E_5249,4,118830,2,35.8907,1.2295,0.749447,0.00641841
E_5250,3,417188,2,42.2566,1.3871,1.664,0.01365547
E_5251,2,169202,1,23.7279,6.9717,1.54247,0.45320648
E_5252,2,399189,4,38.292,9.1829,1.942687,0.02911754
E_5253,3,317394,2,26.7047,7.2842,1.991988,0.13583788
E_5254,2,610473,6,11.9147,0.8387,0.489082,0.00095632
E_5255,2,302123,4,17.5452,4.0887,1.801895,0.02624439
E_5256,2,257699,6,25.0272,0.1253,0.198086,2.755e-05
E_5257,3,377342,1,16.5274,5.1609,1.422502,0.44419513
E_5258,2,604655,6,17.4409,2.0127,0.447998,0.0014361
E_5259,2,730759,4,17.5322,8.6947,0.607619,0.01883344
E_5260,2,336824,2,7.0192,1.1329,1.893179,0.07638985
E_5261,2,612214,2,5.1475,0.1142,0.533671,0.00295994
E_5262,4,119403,4,3.2783,4.5663,1.349624,0.11749207
E_5263,2,103681,2,6.4369,1.6388,0.364476,0.02319841
E_5264,2,453699,6,17.8416,7.4061,0.195846,0.00225823
E_5265,3,739548,2,30.0997,9.2074,0.685241,0.05240325
E_5266,3,797652,2,10.2192,0.5152,1.25215,0.01578176
E_5267,2,729674,6,44.5124,4.0163,0.503411,0.00126173
E_5268,3,498845,6,40.6107,9.9685,0.607336,0.0041411
E_5269,2,193246,6,26.5058,7.3535,1.420372,0.01094593
E_5270,2,195864,1,36.4863,9.5366,0.214564,0.05608163
E_5271,3,308886,6,18.9501,1.7244,0.899341,0.00227326
E_5272,3,370561,6,2.8021,2.2915,1.884052,0.04279831
E_5273,3,481032,1,45.3123,1.6326,0.799974,0.02882302
E_5274,3,265837,2,7.2619,3.0935,0.87406,0.0930853
E_5275,2,345160,6,47.4489,7.2714,1.479027,0.00629601
E_5276,2,287646,4,29.0222,1.733,1.560233,0.00582288
E_5277,3,583761,6,15.9726,5.2899,1.541517,0.01418135
E_5278,2,356681,6,25.2807,2.7652,1.995755,0.00606376
E_5279,3,565483,1,25.5799,8.309,0.152188,0.04943452
E_5280,3,795923,4,2.1411,0.1653,1.964684,0.00948001
E_5281,3,635620,2,18.4175,2.3088,1.900877,0.05957303
E_5282,2,320326,2,37.2534,6.0919,1.705756,0.06973387
E_5283,2,361849,4,25.9934,1.0574,0.91371,0.00232308
E_5284,2,419248,6,12.9673,4.7165,1.743096,0.01761121
E_5285,2,446479,1,17.4204,4.4185,0.449457,0.11400001
E_5286,2,477082,4,43.2897,8.54,1.585395,0.01954748
E_5287,2,180730,4,26.7519,6.2914,0.378624,0.0055652
E_5288,2,498167,2,26.8893,6.4331,1.63257,0.09764559
E_5289,2,337474,1,48.1119,9.5229,1.232913,0.24403333
E_5290,2,390477,4,16.7232,9.8254,0.205082,0.00753075
E_5291,2,383817,1,24.4975,6.5686,1.791686,0.48041101
E_5292,2,665158,6,40.774,5.2678,1.160135,0.00416344
E_5293,3,353017,2,38.1867,6.1184,1.315934,0.05271083
E_5294,2,751824,6,14.0242,3.8862,0.574185,0.00441974
E_5295,2,433245,1,8.4035,9.8758,1.744555,2.05020245
E_5296,2,125494,6,35.3345,7.0797,1.094949,0.00609407
E_5297,3,723765,2,13.6252,2.981,0.848029,0.04638417
E_5298,2,488227,1,46.2111,0.6719,1.073221,0.01560442
E_5299,2,474842,4,7.3331,0.5427,1.409593,0.00651998
E_5300,2,473704,6,16.5974,2.1286,1.393145,0.00496304
E_5301,2,494051,2,3.6846,2.4058,0.721578,0.11778567
E_5302,2,380790,4,35.462,4.209,0.776664,0.00576141
E_5303,2,223777,2,44.6719,2.227,1.128854,0.01406901
E_5304,2,701648,1,32.1579,6.346,1.84957,0.36499184
E_5305,3,399479,1,46.9499,2.1914,1.493406,0.06970515
E_5306,4,233501,6,7.2967,1.96,0.786926,0.00587166
E_5307,2,404094,2,5.299,4.7652,0.680695,0.15303113
E_5308,2,684942,2,42.0822,8.8978,1.052037,0.0556103
E_5309,3,469566,2,42.92,4.7362,1.741283,0.04803742
E_5310,2,472078,1,41.7209,4.1971,0.027272,0.00274355
E_5311,2,219975,6,40.1493,5.8231,1.423867,0.00573645
E_5312,2,453330,2,18.7492,2.6464,0.596079,0.02103374
E_5313,2,466378,2,11.6556,3.599,0.424711,0.03278542
E_5314,4,726614,4,46.5114,2.217,0.034155,0.00010175
E_5315,3,177527,2,16.043,5.7609,1.794215,0.1610717
E_5316,2,448848,6,20.522,7.0041,1.825374,0.01730541
E_5317,2,532601,4,35.2784,6.7696,0.132221,0.00158575
E_5318,2,266991,4,15.3744,2.6227,1.048412,0.01117796
E_5319,2,196952,4,41.1374,7.8185,0.313623,0.00372541
E_5320,2,433260,1,4.4317,2.6339,1.519788,0.90325826
E_5321,2,565806,4,39.768,1.5881,1.334129,0.00332983
E_5322,3,533603,2,30.4907,3.5631,0.60129,0.01756647
E_5323,2,771183,1,29.0767,6.0177,0.242751,0.05023963
E_5324,2,146015,1,23.4605,1.5058,1.664129,0.10681126
E_5325,4,202877,1,14.5752,6.5161,1.351762,0.60432902
E_5326,3,377483,1,23.7394,8.6444,0.023572,0.00858344
E_5327,2,623165,1,23.0514,3.0021,1.259465,0.16402647
E_5328,2,758851,1,29.604,4.557,1.622489,0.24975282
E_5329,2,493922,1,14.7971,2.3603,1.185628,0.18912069
E_5330,2,721781,4,4.8022,3.6765,0.85518,0.04091965
E_5331,2,771088,6,8.1094,0.3175,1.171998,0.00127462
E_5332,3,596753,2,35.2597,9.5423,1.243227,0.08411334
E_5333,2,491670,2,2.1021,4.2173,1.283669,0.64383441
E_5334,2,531739,4,42.9657,7.9098,1.93442,0.0222574
E_5335,2,745936,4,35.0255,1.5122,0.365509,0.00098629
E_5336,2,387307,1,38.6362,8.1423,1.249955,0.26341899
E_5337,3,773078,6,41.9632,8.6155,0.384107,0.00219059
E_5338,3,711796,1,7.0128,7.1832,0.427814,0.43820921
E_5339,2,401763,4,41.3001,9.0418,1.341823,0.01836027
E_5340,2,374270,1,25.7275,1.7553,1.832749,0.12504224
E_5341,2,689214,2,44.3907,4.8172,0.326498,0.00885775
E_5342,2,140633,2,44.4427,6.2391,1.925306,0.06757115
E_5343,2,308726,1,2.1847,6.0023,0.645551,1.77360313
E_5344,2,103317,6,19.7604,8.6243,0.788715,0.00956193
E_5345,2,407124,1,26.7935,2.2353,0.315825,0.02634832
E_5346,2,540847,1,34.2396,1.8389,1.235514,0.06635553
E_5347,2,467508,6,15.0231,2.6084,1.196877,0.00577247
E_5348,2,552558,6,13.355,8.9263,0.890117,0.01652617
E_5349,2,377648,6,19.682,9.4162,0.957422,0.01272352
E_5350,2,519876,2,25.546,5.7393,1.249722,0.0701923
E_5351,2,419532,1,47.6062,5.0636,1.171158,0.1245694
E_5352,3,312369,4,38.3433,6.0933,0.754784,0.00749662
E_5353,2,679789,6,22.0367,6.2014,1.769388,0.01383132
E_5354,2,127043,6,3.6639,1.786,1.338644,0.01812594
E_5355,2,133635,1,9.2575,6.8955,0.418759,0.31191495
E_5356,2,310387,4,23.3403,4.5783,0.646607,0.00792717
E_5357,2,180691,1,40.8775,5.2221,1.577877,0.20157376
E_5358,2,599730,1,19.6541,0.4001,0.218006,0.00443796
E_5359,3,193944,6,27.3863,7.6691,1.502962,0.01169113
E_5360,2,555796,6,44.6984,8.3707,0.724096,0.00376672
E_5361,2,615578,2,45.776,6.2323,1.107865,0.03770834
E_5362,2,139236,4,11.573,7.5124,0.568311,0.02305679
E_5363,2,366294,4,3.1362,5.2748,1.973049,0.20740544
E_5364,2,473513,6,15.9651,6.2217,1.812622,0.01962195
E_5365,3,628425,6,35.0943,4.0063,1.857615,0.00589061
E_5366,2,654280,6,47.6045,7.9396,0.377703,0.00174984
E_5367,4,215140,4,4.7746,4.7359,1.684963,0.10445661
E_5368,3,275993,2,2.3957,6.8341,1.07544,0.7669642
E_5369,2,745513,4,44.3232,6.2522,1.41864,0.01250702
E_5370,2,572585,6,37.6591,7.0529,0.442833,0.00230375
E_5371,2,435834,6,49.6202,7.8736,1.426849,0.00628913
E_5372,2,396379,2,20.4429,5.1759,1.829392,0.11579509
E_5373,2,310047,1,21.3865,8.1494,0.542288,0.20664072
E_5374,2,643410,1,9.4433,5.0228,0.474386,0.25232133
E_5375,2,386100,4,6.6765,9.5707,0.217785,0.01951205
E_5376,2,163879,1,29.3572,7.5515,0.540945,0.13914631
E_5377,3,682848,1,18.85,1.7943,1.076227,0.10244425
E_5378,2,472454,4,4.9355,8.3129,1.667105,0.17549485
E_5379,3,337268,6,44.4624,5.5607,0.564813,0.00196218
E_5380,2,579280,1,10.7195,9.8462,1.246077,1.14456116
E_5381,2,607656,6,37.6806,7.2163,0.964385,0.00513032
E_5382,2,407268,4,14.8292,0.9355,0.584272,0.00230367
E_5383,2,791257,6,40.8323,4.0101,1.025615,0.00279791
E_5384,3,770392,6,6.8014,5.221,0.344245,0.00734041
E_5385,3,414941,4,38.0475,8.4062,1.282759,0.01771327
E_5386,3,537043,6,5.8078,7.3205,0.240169,0.00840898
E_5387,2,250823,1,22.8989,3.7567,1.464651,0.24028466
E_5388,2,654661,1,36.9662,6.569,0.363648,0.06462129
E_5389,3,222026,1,9.4877,5.8114,1.996337,1.22279508
E_5390,3,130270,1,14.9976,1.3479,1.649108,0.14821256
E_5391,4,332931,6,43.3736,2.4251,0.694242,0.00107823
E_5392,2,165184,1,44.3708,3.4771,0.858147,0.06724835
E_5393,2,607532,6,3.2018,2.0353,0.52579,0.00928419
E_5394,3,662167,2,9.2364,1.5863,1.536558,0.06597381
E_5395,2,411741,6,6.7561,0.6762,0.767647,0.00213421
E_5396,3,103626,1,9.805,8.7437,1.512819,1.34907042
E_5397,3,710224,2,48.5392,2.9605,0.046619,0.00071085
E_5398,2,595395,4,28.0311,2.9742,0.279886,0.00185606
E_5399,3,705803,6,23.9375,2.1417,0.736299,0.00182992
E_5400,3,308137,1,49.2389,4.8064,0.226728,0.0221318
E_5401,2,679678,1,28.2909,5.191,1.206245,0.22132975
E_5402,3,678432,1,33.3948,2.162,0.111156,0.00719631
E_5403,2,244454,4,17.3058,6.1248,1.720928,0.0380665
E_5404,3,628313,2,19.7236,7.2577,1.525003,0.14028897
E_5405,2,536442,2,30.1261,3.801,0.44035,0.0138897
E_5406,3,441524,1,4.4195,5.896,0.972746,1.29772834
E_5407,2,354043,6,13.5383,5.0728,0.909108,0.0094623
E_5408,2,743198,1,10.6438,2.0359,1.452481,0.27782428
E_5409,3,562927,1,1.7788,7.3271,0.809003,3.33238469
E_5410,2,720343,6,27.3082,8.0344,0.075541,0.00061736
E_5411,2,488333,1,28.4916,6.5231,0.554734,0.12700534
E_5412,4,657749,4,19.813,3.3066,0.93773,0.00978113
E_5413,4,358072,1,14.1676,9.2752,1.94924,1.27612234
E_5414,2,665403,4,32.9509,4.608,1.763506,0.01541353
E_5415,2,210084,1,7.5983,2.7322,0.370998,0.13340362
E_5416,2,445876,2,26.4121,4.1415,1.449319,0.05681444
E_5417,2,573006,6,38.6356,6.9515,1.874283,0.0093675
E_5418,2,441701,2,9.0506,8.4747,0.027497,0.00643683
E_5419,2,784050,1,37.9097,3.6301,1.444682,0.13833768
E_5420,3,173568,1,38.2789,2.403,0.924074,0.05800976
E_5421,3,158560,4,3.9364,6.3023,1.36367,0.13645491
E_5422,3,248866,1,1.9204,9.22,1.215123,5.83390651
E_5423,2,250953,1,48.7228,1.9146,1.969484,0.07739239
E_5424,2,326024,1,10.4758,8.0499,0.584743,0.449333
