curve_id,conductor,rank,torsion_order,regulator,real_period,l_derivative,sha_estimate,selmer2_dim,torsion2_dim,sha2_dim,parity_ok,sha_anomaly
E_10098,49984,2,3,0.215,0.7587,0.61102,33.712,2,0,0,True,True
E_10099,41774,2,2,0.8172,1.6301,0.63499,1.907,2,1,-1,True,True
E_10100,3568,2,2,3.9857,3.6894,0.59578,0.162,2,1,-1,True,False
E_10101,63592,3,3,4.8514,2.3853,0.70561,0.549,3,0,0,True,False
E_10102,68563,2,4,6.0402,1.8857,0.24506,0.344,2,1,-1,True,False
E_10103,3695,2,4,2.9875,1.9784,0.51724,1.4,2,1,-1,True,True
E_10104,49190,2,5,6.9803,2.3026,0.11318,0.176,2,0,0,True,False
E_10105,6258,2,5,8.6152,3.9272,0.39067,0.289,2,0,0,True,False
E_10106,88538,3,6,7.8205,4.4615,0.49279,0.508,3,1,-1,True,False
E_10107,40504,3,6,0.4922,4.7771,0.6557,10.039,3,1,-1,True,True
E_10108,34159,2,1,4.857,3.9366,0.95103,0.05,3,0,1,True,False
E_10109,14986,3,2,1.1388,1.5839,0.60464,1.341,4,1,0,True,True
E_10110,62858,2,5,2.4962,3.4438,0.74616,2.17,2,0,0,True,True
E_10111,13666,2,4,9.868,2.1936,0.5112,0.378,3,1,0,True,False
E_10112,39660,3,3,1.5107,1.2808,0.63776,2.966,4,0,1,True,True
E_10113,4561,2,4,5.039,4.2059,0.08022,0.061,2,1,-1,True,False
E_10114,27854,2,2,6.2197,0.2017,0.26185,0.835,3,1,0,True,False
E_10115,65505,3,6,7.0544,4.5098,0.36823,0.417,3,1,-1,True,False
E_10116,53251,2,4,5.6405,2.3128,0.47777,0.586,3,1,0,True,False
E_10117,23662,2,1,0.1967,3.1896,0.05519,0.088,2,0,0,True,False
E_10118,9392,2,2,3.332,3.3002,0.14862,0.054,3,1,0,True,False
E_10119,31535,2,6,5.2253,4.4766,0.28405,0.437,4,1,1,True,False
E_10120,79603,2,3,0.9699,3.187,0.97182,2.83,2,0,0,True,True
E_10121,53256,2,6,3.5712,3.0735,0.33803,1.109,4,1,1,True,True
E_10122,90135,3,1,0.4287,0.3426,0.48722,3.317,3,0,0,True,True
E_10123,36222,3,2,0.8779,2.5969,0.20414,0.358,3,1,-1,True,False
E_10124,78373,3,3,4.0295,0.7593,0.61467,1.808,4,0,1,True,True
E_10125,80575,3,1,1.4139,3.6898,0.28788,0.055,4,0,1,True,False
E_10126,97354,2,6,5.7187,2.566,0.21492,0.527,2,1,-1,True,False
E_10127,85651,2,1,6.9257,3.4043,0.52141,0.022,2,0,0,True,False
E_10128,64335,2,2,8.0258,0.2179,0.01545,0.035,2,1,-1,True,False
E_10129,11965,2,5,2.0815,0.4331,0.01759,0.488,2,0,0,True,False
E_10130,25538,2,1,1.7581,3.5845,0.22688,0.036,3,0,1,True,False
E_10131,71592,2,1,1.1352,0.3697,0.04635,0.11,2,0,0,True,False
E_10132,99018,2,6,6.4007,0.3656,0.11695,1.799,3,1,0,True,True
E_10133,9110,3,6,7.0941,0.0704,0.34547,24.902,3,1,-1,True,True
E_10134,80309,4,3,0.4127,4.7829,0.80456,3.668,4,0,0,True,True
E_10135,28266,2,6,9.3685,3.6902,0.57633,0.6,3,1,0,True,False
E_10136,53992,2,4,0.6145,1.7727,0.51754,7.602,2,1,-1,True,True
E_10137,83948,2,2,5.4588,1.4897,0.30055,0.148,4,1,1,True,False
E_10138,99806,3,2,7.1197,1.755,0.93244,0.298,3,1,-1,True,False
E_10139,7910,3,5,8.7226,3.8755,0.40304,0.298,7,0,4,True,True
E_10140,91982,2,5,7.1695,3.3102,0.09622,0.101,2,0,0,True,False
E_10141,1206,2,2,8.0371,0.9341,0.6209,0.331,2,1,-1,True,False
E_10142,88054,2,5,3.4606,0.8788,0.1227,1.009,2,0,0,True,True
E_10143,88897,2,3,8.1668,0.501,0.35177,0.774,3,0,1,True,False
E_10144,24419,2,6,0.8931,3.3049,0.51234,6.249,4,1,1,True,True
E_10145,51636,2,2,8.9587,3.8242,0.87548,0.102,2,1,-1,True,False
E_10146,51015,4,5,5.5212,1.3326,0.49861,1.694,4,0,0,True,True
E_10147,55268,2,2,8.1912,0.1145,0.70524,3.008,2,1,-1,True,True
E_10148,88939,2,4,4.578,0.42,0.99289,8.262,2,1,-1,True,True
E_10149,19141,3,1,6.4714,4.8396,0.14017,0.004,3,0,0,True,False
E_10150,81356,3,6,5.3114,1.4843,0.28198,1.288,3,1,-1,True,True
E_10151,72910,4,2,7.3427,3.8484,0.40063,0.057,4,1,-1,True,False
E_10152,57044,2,1,0.9081,3.1271,0.42761,0.151,2,0,0,True,False
E_10153,68214,2,5,0.6975,1.9159,0.41691,7.799,2,0,0,True,True
E_10154,34827,2,1,2.5463,1.0364,0.90853,0.344,2,0,0,True,False
E_10155,56820,2,6,1.6795,0.6157,0.71689,24.958,2,1,-1,True,True
E_10156,63623,2,2,8.7307,3.0789,0.61183,0.091,3,1,0,True,False
E_10157,82734,2,4,2.2702,3.8754,0.31628,0.575,2,1,-1,True,False
E_10158,76450,2,5,9.7611,3.2231,0.82555,0.656,2,0,0,True,False
E_10159,94426,2,2,3.4353,2.6562,0.95551,0.419,2,1,-1,True,False
E_10160,23299,2,6,1.903,0.2193,0.82299,70.994,3,1,0,True,True
E_10161,44585,2,5,7.918,4.8428,0.01155,0.008,2,0,0,True,False
E_10162,65044,2,3,6.6212,3.9956,0.64004,0.218,2,0,0,True,False
E_10163,43557,2,1,5.0321,1.4712,0.06062,0.008,2,0,0,True,False
E_10164,50080,2,6,5.5981,4.9001,0.26503,0.348,3,1,0,True,False
E_10165,3693,2,3,7.2201,3.0134,0.06893,0.029,4,0,2,True,False
E_10166,96003,2,2,2.3617,2.9163,0.60776,0.353,2,1,-1,True,False
E_10167,96259,2,4,9.9637,3.7429,0.68972,0.296,3,1,0,True,False
E_10168,70163,2,5,9.7505,4.0607,0.12334,0.078,2,0,0,True,False
E_10169,26939,2,1,6.5382,3.2858,0.39,0.018,2,0,0,True,False
E_10170,49925,2,5,2.0755,0.6492,0.46167,8.566,2,0,0,True,True
E_10171,43941,3,2,6.8343,1.698,0.37536,0.129,3,1,-1,True,False
E_10172,22834,2,5,0.8148,4.6411,0.12981,0.858,2,0,0,True,False
E_10173,19047,2,1,0.4035,1.1308,0.42476,0.931,3,0,1,True,False
E_10174,27105,3,2,2.6511,1.8671,0.75367,0.609,3,1,-1,True,False
E_10175,76766,2,5,4.68,2.1661,0.0803,0.198,2,0,0,True,False
E_10176,16707,3,4,8.6959,2.2026,0.08938,0.075,4,1,0,True,False
E_10177,22976,2,6,7.299,3.0686,0.36122,0.581,2,1,-1,True,False
E_10178,45262,2,2,7.4528,4.7159,0.94231,0.107,2,1,-1,True,False
E_10179,24776,2,6,4.3124,1.2111,0.67189,4.631,2,1,-1,True,True
E_10180,31080,3,2,3.5248,0.6163,0.68188,1.256,7,1,3,True,True
E_10181,67842,2,4,3.7733,0.9954,0.3683,1.569,2,1,-1,True,True
E_10182,62373,4,6,9.8777,4.4358,0.59772,0.491,4,1,-1,True,False
E_10183,7776,2,3,0.4971,3.2326,0.02003,0.112,2,0,0,True,False
E_10184,93787,3,1,8.6836,1.4367,0.63974,0.051,3,0,0,True,False
E_10185,56016,2,3,5.8289,4.0816,0.91415,0.346,2,0,0,True,False
E_10186,10474,3,5,4.4423,4.3082,0.61645,0.805,3,0,0,True,False
E_10187,59053,2,4,7.2801,4.2341,0.87496,0.454,2,1,-1,True,False
E_10188,22959,2,3,4.918,4.5954,0.72673,0.289,3,0,1,True,False
E_10189,6530,2,2,8.7469,1.2687,0.12935,0.047,2,1,-1,True,False
E_10190,95856,2,5,9.0169,3.7777,0.90343,0.663,2,0,0,True,False
E_10191,4748,2,5,4.275,2.3081,0.07578,0.192,2,0,0,True,False
E_10192,98504,2,3,2.8406,4.2116,0.53863,0.405,2,0,0,True,False
E_10193,99098,2,3,5.9643,3.6452,0.15072,0.062,2,0,0,True,False
E_10194,14545,2,4,9.1324,3.8845,0.02159,0.01,2,1,-1,True,False
E_10195,67199,3,1,2.1856,3.2842,0.42781,0.06,3,0,0,True,False
E_10196,35766,3,3,6.2674,0.8954,0.30209,0.484,4,0,1,True,False
E_10197,74530,2,3,6.3524,2.7297,0.49114,0.255,3,0,1,True,False
E_10198,94557,3,6,7.3578,4.9235,0.58143,0.578,5,1,1,True,False
E_10199,62087,3,2,1.4025,4.6876,0.0533,0.032,3,1,-1,True,False
E_10200,96839,2,6,7.1867,0.2254,0.13177,2.928,4,1,1,True,True
E_10201,69840,2,6,9.0994,0.8324,0.56306,2.676,3,1,0,True,True
E_10202,55384,2,5,1.8789,0.6673,0.34974,6.974,2,0,0,True,True
E_10203,52005,2,1,2.4517,3.6326,0.73188,0.082,2,0,0,True,False
E_10204,47576,2,2,9.7168,4.0907,0.65577,0.066,2,1,-1,True,False
E_10205,40353,2,4,1.8917,1.0754,0.84715,6.663,2,1,-1,True,True
E_10206,63003,3,4,8.5584,2.5342,0.69557,0.513,3,1,-1,True,False
E_10207,84211,3,3,4.9736,4.2051,0.43563,0.187,3,0,0,True,False
E_10208,53733,2,3,2.5476,3.6667,0.67624,0.652,3,0,1,True,False
E_10209,66318,2,4,8.7204,2.7158,0.28263,0.191,2,1,-1,True,False
E_10210,90474,2,3,4.5085,2.9558,0.31325,0.212,3,0,1,True,False
E_10211,24664,2,1,5.1967,2.5467,0.7911,0.06,2,0,0,True,False
E_10212,68172,2,6,3.6564,1.4948,0.45196,2.977,2,1,-1,True,True
E_10213,86616,3,3,5.9702,2.8295,0.8004,0.426,3,0,0,True,False
E_10214,94264,2,5,1.7189,3.4475,0.8242,3.477,2,0,0,True,True
E_10215,27736,3,3,3.9717,4.3679,0.85899,0.446,3,0,0,True,False
E_10216,95209,4,2,9.6972,3.1851,0.91747,0.119,6,1,1,True,False
E_10217,1854,2,1,2.6555,3.808,0.43668,0.043,3,0,1,True,False
E_10218,91084,3,2,6.6017,0.8088,0.32568,0.244,4,1,0,True,False
E_10219,39623,2,2,3.3194,2.3132,0.58638,0.305,2,1,-1,True,False
E_10220,8392,2,5,7.7574,0.0566,0.37746,21.492,2,0,0,True,True
E_10221,56680,2,1,1.3956,1.2409,0.60506,0.349,4,0,2,True,False
E_10222,47717,3,1,9.7012,3.635,0.70853,0.02,3,0,0,True,False
E_10223,88092,2,1,4.5925,4.9591,0.69152,0.03,2,0,0,True,False
E_10224,51859,3,1,2.4369,0.5049,0.38081,0.31,3,0,0,True,False
E_10225,27309,3,1,0.8276,2.0135,0.17519,0.105,3,0,0,True,False
E_10226,88455,2,5,1.7806,4.0024,0.43622,1.53,4,0,2,True,True
E_10227,64734,4,3,5.2458,1.0281,0.15117,0.252,4,0,0,True,False
E_10228,71467,2,2,3.4363,2.7799,0.8912,0.373,2,1,-1,True,False
E_10229,53662,2,1,8.3059,3.668,0.35242,0.012,3,0,1,True,False
E_10230,99506,2,3,4.3658,3.0838,0.16292,0.109,2,0,0,True,False
E_10231,13688,2,3,2.5623,0.9482,0.03519,0.13,4,0,2,True,False
E_10232,26342,3,2,6.2097,1.7834,0.64936,0.235,3,1,-1,True,False
E_10233,38157,2,5,7.0971,3.9211,0.64053,0.575,2,0,0,True,False
E_10234,68863,2,4,1.7537,2.7756,0.3472,1.141,4,1,1,True,True
E_10235,53083,3,4,1.7594,0.0361,0.08099,20.402,4,1,0,True,True
E_10236,66733,2,3,0.463,3.8073,0.41553,2.122,2,0,0,True,True
E_10237,90045,2,6,7.3904,0.1862,0.31811,8.322,2,1,-1,True,True
E_10238,35698,2,6,6.6717,3.7312,0.68035,0.984,2,1,-1,True,False
E_10239,81623,3,2,4.7988,1.0204,0.60972,0.498,3,1,-1,True,False
E_10240,23671,2,4,8.4573,4.7908,0.37095,0.146,2,1,-1,True,False
E_10241,26184,3,3,8.0761,1.846,0.22571,0.136,4,0,1,True,False
E_10242,94384,3,5,5.895,1.6414,0.98816,2.553,3,0,0,True,True
E_10243,43107,2,4,8.6959,0.753,0.45946,1.123,2,1,-1,True,True
E_10244,87202,2,3,2.1378,1.535,0.69139,1.896,3,0,1,True,True
E_10245,52663,2,3,1.208,4.3845,0.14915,0.253,2,0,0,True,False
E_10246,16708,2,1,2.7705,4.9817,0.49073,0.036,2,0,0,True,False
E_10247,92906,2,5,0.6652,1.8479,0.03726,0.758,3,0,1,True,False
E_10248,50811,2,1,5.3586,2.2486,0.5104,0.042,2,0,0,True,False
E_10249,3811,2,2,9.3724,3.6131,0.96438,0.114,2,1,-1,True,False
E_10250,57250,2,1,0.4895,4.4321,0.39036,0.18,2,0,0,True,False
E_10251,73082,2,1,1.3089,2.9693,0.04861,0.013,2,0,0,True,False
E_10252,35754,2,4,4.5768,1.9637,0.04065,0.072,2,1,-1,True,False
E_10253,96742,2,6,9.3454,2.069,0.39411,0.734,2,1,-1,True,False
E_10254,12411,2,3,3.2299,3.4811,0.16842,0.135,3,0,1,True,False
E_10255,3911,2,5,5.1216,0.0261,0.03312,6.194,3,0,1,True,True
E_10256,68270,2,1,0.5116,3.1018,0.75865,0.478,3,0,1,True,False
E_10257,84763,2,5,1.5686,1.7839,0.46394,4.145,2,0,0,True,True
E_10258,9680,3,6,9.8676,3.973,0.29635,0.272,3,1,-1,True,False
E_10259,85896,2,6,9.6547,0.474,0.90108,7.088,2,1,-1,True,True
E_10260,84879,4,1,0.1489,2.9451,0.12498,0.285,4,0,0,True,False
E_10261,72295,2,2,9.5229,2.4101,0.95636,0.167,2,1,-1,True,False
E_10262,89614,2,1,6.4273,3.2152,0.32083,0.016,3,0,1,True,False
E_10263,12111,3,4,8.6924,0.3336,0.88952,4.908,3,1,-1,True,True
E_10264,38504,2,3,4.6019,2.9041,0.60691,0.409,2,0,0,True,False
E_10265,2802,2,2,5.2044,2.8118,0.82844,0.226,3,1,0,True,False
E_10266,9155,2,1,4.9396,2.8077,0.98417,0.071,2,0,0,True,False
E_10267,74656,2,5,6.702,3.0214,0.29552,0.365,2,0,0,True,False
E_10268,40384,2,2,1.4825,3.3856,0.96152,0.766,2,1,-1,True,False
E_10269,48254,2,2,0.3967,4.0269,0.39559,0.991,2,1,-1,True,False
E_10270,22918,3,1,3.1485,1.3564,0.39166,0.092,3,0,0,True,False
E_10271,86981,2,2,7.0763,4.127,0.34698,0.048,2,1,-1,True,False
E_10272,61713,2,5,2.0983,2.4963,0.54599,2.606,2,0,0,True,True
E_10273,31306,2,6,6.767,0.3945,0.1626,2.193,2,1,-1,True,True
E_10274,17646,2,2,9.7021,0.3022,0.55817,0.761,2,1,-1,True,False
E_10275,47843,2,6,1.0296,1.6778,0.54629,11.385,2,1,-1,True,True
E_10276,97601,2,5,6.7588,3.9266,0.76428,0.72,2,0,0,True,False
E_10277,91735,2,1,4.4931,3.5413,0.83531,0.052,3,0,1,True,False
E_10278,17371,2,3,8.6946,3.9452,0.44604,0.117,2,0,0,True,False
E_10279,78371,2,2,1.8538,2.5912,0.30931,0.258,2,1,-1,True,False
E_10280,3049,2,3,6.957,2.2066,0.26674,0.156,2,0,0,True,False
E_10281,32616,3,5,8.3973,0.7458,0.20268,0.809,4,0,1,True,False
E_10282,21932,2,2,9.4517,1.6477,0.06707,0.017,3,1,0,True,False
E_10283,30855,2,6,6.8642,2.1758,0.34902,0.841,2,1,-1,True,False
E_10284,62434,4,4,5.022,0.4521,0.27755,1.956,4,1,-1,True,True
E_10285,73694,2,3,6.2167,1.1109,0.96675,1.26,3,0,1,True,True
E_10286,44016,3,2,8.7022,2.9951,0.56213,0.086,4,1,0,True,False
E_10287,8400,2,3,5.749,3.681,0.3538,0.15,2,0,0,True,False
E_10288,43642,3,2,0.4008,4.9918,0.58466,1.169,6,1,2,True,True
E_10289,16151,2,1,9.3164,4.6662,0.1478,0.003,2,0,0,True,False
E_10290,52407,3,6,6.9263,3.2164,0.4496,0.727,3,1,-1,True,False
E_10291,67690,2,3,6.7975,2.112,0.62997,0.395,2,0,0,True,False
E_10292,5499,2,4,2.2352,3.1845,0.49401,1.11,2,1,-1,True,True
E_10293,7295,2,4,6.623,3.9304,0.40776,0.251,3,1,0,True,False
E_10294,60040,2,5,3.9993,0.6005,0.99391,10.346,2,0,0,True,True
E_10295,13183,3,2,6.5472,2.0554,0.88151,0.262,4,1,0,True,False
E_10296,30299,3,3,1.1553,4.2006,0.62717,1.163,4,0,1,True,True
E_10297,13874,2,5,6.6127,1.9253,0.57368,1.127,3,0,1,True,True
E_10298,33711,3,3,9.9942,2.8636,0.62445,0.196,3,0,0,True,False
E_10299,6539,2,2,0.5773,2.943,0.2093,0.493,2,1,-1,True,False
E_10300,54351,2,4,9.774,0.9305,0.40119,0.706,2,1,-1,True,False
E_10301,62267,2,1,4.1284,1.8176,0.04906,0.007,2,0,0,True,False
E_10302,49354,3,4,8.7205,1.6792,0.48079,0.525,4,1,0,True,False
E_10303,3557,2,5,7.8456,0.1407,0.54759,12.402,2,0,0,True,True
E_10304,39360,2,6,5.7135,0.1307,0.23547,11.352,4,1,1,True,True
E_10305,83018,3,1,7.4106,4.1602,0.96439,0.031,3,0,0,True,False
E_10306,3200,2,5,8.7973,1.3726,0.91036,1.885,4,0,2,True,True
E_10307,69497,2,2,4.101,2.5952,0.72492,0.272,3,1,0,True,False
E_10308,47975,2,1,3.3376,1.5006,0.53805,0.107,2,0,0,True,False
E_10309,22357,2,5,6.7092,4.704,0.87127,0.69,2,0,0,True,False
E_10310,78505,2,2,8.0977,1.3039,0.13935,0.053,2,1,-1,True,False
E_10311,3869,2,4,7.6466,2.154,0.7926,0.77,2,1,-1,True,False
E_10312,62135,2,6,7.9984,4.3649,0.13357,0.138,2,1,-1,True,False
E_10313,51108,2,2,4.4123,4.2112,0.79627,0.171,2,1,-1,True,False
E_10314,95179,2,3,8.1966,0.9386,0.28301,0.331,2,0,0,True,False
E_10315,91272,3,2,1.2901,4.0152,0.87832,0.678,3,1,-1,True,False
E_10316,39467,2,2,5.4904,2.2964,0.9446,0.3,2,1,-1,True,False
E_10317,24328,2,6,0.157,2.42,0.15731,14.905,2,1,-1,True,True
E_10318,92412,2,3,3.3134,0.6761,0.46805,1.88,3,0,1,True,True
E_10319,87831,2,5,3.728,0.4122,0.98118,15.963,3,0,1,True,True
E_10320,4987,2,5,4.0221,3.6424,0.48857,0.834,2,0,0,True,False
E_10321,59871,3,2,6.9851,2.4873,0.86491,0.199,7,1,3,True,True
E_10322,23399,2,3,3.9467,2.1899,0.59284,0.617,2,0,0,True,False
E_10323,47214,2,3,4.5421,3.6502,0.38158,0.207,2,0,0,True,False
E_10324,87416,2,6,2.4517,3.8299,0.29293,1.123,2,1,-1,True,True
E_10325,71271,2,4,3.7952,0.803,0.21119,1.109,3,1,0,True,True
E_10326,45064,3,5,2.35,3.055,0.76418,2.661,3,0,0,True,True
E_10327,71091,2,6,0.8246,0.6854,0.39268,25.012,3,1,0,True,True
E_10328,41818,2,1,6.0741,3.7594,0.51616,0.023,2,0,0,True,False
E_10329,46525,2,5,6.7153,3.2882,0.4974,0.563,2,0,0,True,False
E_10330,20830,2,6,6.233,4.7835,0.58151,0.702,2,1,-1,True,False
E_10331,18429,3,5,4.6886,0.3541,0.86692,13.054,3,0,0,True,True
E_10332,7893,2,4,3.8599,0.2947,0.98093,13.798,3,1,0,True,True
E_10333,80909,3,1,8.647,1.4181,0.41351,0.034,3,0,0,True,False
E_10334,48333,2,4,5.2389,1.3159,0.82924,1.925,2,1,-1,True,True
E_10335,4436,3,1,4.8439,1.2424,0.76688,0.127,4,0,1,True,False
E_10336,75290,2,2,0.3539,4.5322,0.57779,1.441,3,1,0,True,True
